years,innings,runs,balls,outs,avg,strike rate,high score,50,100,four,six,dot
2010,1,26,21,0,0,123.8,26,0,0,3,1,42.9
2011,4,61,52,4,15.2,117.3,28,0,0,10,0,42.3
2012,13,475,356,12,39.6,133.4,82,4,0,58,7,32.6
2013,1,29,22,1,29,131.8,29,0,0,2,1,36.4
2014,7,385,288,3,128.3,133.7,77,5,0,33,11,30.6
2015,2,44,28,2,22,157.1,43,0,0,1,3,21.4
2016,13,642,457,6,107,140.5,90,7,0,70,9,30.6
2017,10,300,196,8,37.5,153.1,82,2,0,32,8,28.1
2018,9,211,173,7,30.1,122,61,1,0,10,8,37
2019,10,466,315,6,77.7,147.9,94,5,0,29,23,27
2020,1,30,17,0,0,176.5,30,0,0,1,2,11.8
total,71,2669,1925,49,54.5,138.6,94,24,0,249,73,30.9
